Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
8 member(s) 4 organism(s),enterobacteria,"minor capsid protein, partial [Yersinia pestis]",215,215,81%,6e-70,100.00,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025470931.1?report=genbank&log$=prottop&blast_rank=1&RID=UWD4E1J9016"",""WP_025470931.1"")"
11 member(s) 6 organism(s),enterobacteria,minor capsid protein [Enterobacter hormaechei],211,258,99%,4e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220719734.1?report=genbank&log$=prottop&blast_rank=2&RID=UWD4E1J9016"",""WP_220719734.1"")"
91 member(s) 31 organism(s),root,minor capsid protein [Escherichia coli],210,256,99%,9e-68,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124831680.1?report=genbank&log$=prottop&blast_rank=3&RID=UWD4E1J9016"",""WP_124831680.1"")"
61 member(s) 17 organism(s),enterobacteria,minor capsid protein [Salmonella enterica],196,242,99%,3e-62,83.65,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079964170.1?report=genbank&log$=prottop&blast_rank=4&RID=UWD4E1J9016"",""WP_079964170.1"")"
4 member(s) 3 organism(s),bacteria,"minor capsid protein, partial [Yersinia pestis]",194,194,74%,7e-62,100.00,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016594713.1?report=genbank&log$=prottop&blast_rank=5&RID=UWD4E1J9016"",""WP_016594713.1"")"
1 member(s) 1 organism(s),CDC Enteric Group 75,hypothetical protein [Enterobacter hormaechei],192,236,99%,1e-60,84.62,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENO7467585.1?report=genbank&log$=prottop&blast_rank=6&RID=UWD4E1J9016"",""ENO7467585.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Buttiauxella sp. WJP83],192,237,99%,1e-60,84.62,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_270146268.1?report=genbank&log$=prottop&blast_rank=7&RID=UWD4E1J9016"",""WP_270146268.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Escherichia fergusonii],190,236,99%,9e-60,81.73,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_046083842.1?report=genbank&log$=prottop&blast_rank=8&RID=UWD4E1J9016"",""WP_046083842.1"")"
3 member(s) 1 organism(s),E. coli,minor capsid protein [Escherichia coli],185,232,99%,1e-57,80.77,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001405042.1?report=genbank&log$=prottop&blast_rank=9&RID=UWD4E1J9016"",""WP_001405042.1"")"
7 member(s) 4 organism(s),enterobacteria,minor capsid protein [Enterobacter cancerogenus],184,229,99%,3e-57,79.81,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_313830406.1?report=genbank&log$=prottop&blast_rank=10&RID=UWD4E1J9016"",""WP_313830406.1"")"
1 member(s) 1 organism(s),enterobacteria,MULTISPECIES: minor capsid protein [Citrobacter],182,182,81%,1e-56,79.81,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_130097770.1?report=genbank&log$=prottop&blast_rank=11&RID=UWD4E1J9016"",""WP_130097770.1"")"
11 member(s) 3 organism(s),enterobacteria,minor capsid protein [Cronobacter sakazakii],182,229,99%,2e-56,79.81,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075183882.1?report=genbank&log$=prottop&blast_rank=12&RID=UWD4E1J9016"",""WP_075183882.1"")"
127 member(s) 8 organism(s),enterobacteria,minor capsid protein [Escherichia albertii],180,227,99%,1e-55,79.05,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_256880945.1?report=genbank&log$=prottop&blast_rank=13&RID=UWD4E1J9016"",""WP_256880945.1"")"
1 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],176,176,81%,2e-54,75.96,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELD1608237.1?report=genbank&log$=prottop&blast_rank=14&RID=UWD4E1J9016"",""ELD1608237.1"")"
1 member(s) 1 organism(s),enterobacteria,"phage tail terminator protein, partial [Yersinia pestis]",174,174,65%,7e-54,100.00,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038929065.1?report=genbank&log$=prottop&blast_rank=15&RID=UWD4E1J9016"",""WP_038929065.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Klebsiella pneumoniae],164,164,80%,2e-49,70.87,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGO5655653.1?report=genbank&log$=prottop&blast_rank=16&RID=UWD4E1J9016"",""HGO5655653.1"")"
17 member(s) 3 organism(s),enterobacteria,phage tail terminator protein [Escherichia coli],161,161,84%,1e-48,68.52,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_342090076.1?report=genbank&log$=prottop&blast_rank=17&RID=UWD4E1J9016"",""WP_342090076.1"")"
