Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 86025 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177713.1?report=genbank&log$=nucltop&blast_rank=1&RID=UWDTFXDU014"",""CP177713.1"")"
"Yersinia pestis strain 680169 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177500.1?report=genbank&log$=nucltop&blast_rank=2&RID=UWDTFXDU014"",""CP177500.1"")"
"Yersinia pestis strain 56008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101723,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177607.1?report=genbank&log$=nucltop&blast_rank=3&RID=UWDTFXDU014"",""CP177607.1"")"
"Yersinia pestis strain 34011 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177680.1?report=genbank&log$=nucltop&blast_rank=4&RID=UWDTFXDU014"",""CP177680.1"")"
"Yersinia pestis strain SCPM-O-B-5935 (I-1996) plasmid pMT, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,99286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045155.1?report=genbank&log$=nucltop&blast_rank=5&RID=UWDTFXDU014"",""CP045155.1"")"
"Yersinia pestis strain 54008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177973.1?report=genbank&log$=nucltop&blast_rank=6&RID=UWDTFXDU014"",""CP177973.1"")"
"Yersinia pestis strain AKS2022HT87_A plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155633.1?report=genbank&log$=nucltop&blast_rank=7&RID=UWDTFXDU014"",""CP155633.1"")"
"Yersinia pestis strain 52005 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177999.1?report=genbank&log$=nucltop&blast_rank=8&RID=UWDTFXDU014"",""CP177999.1"")"
"Yersinia pestis strain 74008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100935,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177470.1?report=genbank&log$=nucltop&blast_rank=9&RID=UWDTFXDU014"",""CP177470.1"")"
"Yersinia pestis strain 46507 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177557.1?report=genbank&log$=nucltop&blast_rank=10&RID=UWDTFXDU014"",""CP177557.1"")"
"Yersinia pestis strain 6/69 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166967.1?report=genbank&log$=nucltop&blast_rank=11&RID=UWDTFXDU014"",""CP166967.1"")"
"Yersinia pestis strain 15002 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177523.1?report=genbank&log$=nucltop&blast_rank=12&RID=UWDTFXDU014"",""CP177523.1"")"
"Yersinia pestis strain 8 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151620.1?report=genbank&log$=nucltop&blast_rank=13&RID=UWDTFXDU014"",""CP151620.1"")"
"Yersinia pestis CA88-4125 plasmid pMT1, complete sequence",Yersinia pestis CA88-4125,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP000723.1?report=genbank&log$=nucltop&blast_rank=14&RID=UWDTFXDU014"",""CP000723.1"")"
"Yersinia pestis strain 71034 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178064.1?report=genbank&log$=nucltop&blast_rank=15&RID=UWDTFXDU014"",""CP178064.1"")"
"Yersinia pestis strain 46503 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,96206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177547.1?report=genbank&log$=nucltop&blast_rank=16&RID=UWDTFXDU014"",""CP177547.1"")"
"Yersinia pestis strain Nicholisk 41 plasmid 1, complete genome",Yersinia pestis,688,688,99%,0.0,99.21,99286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009989.1?report=genbank&log$=nucltop&blast_rank=17&RID=UWDTFXDU014"",""CP009989.1"")"
"Yersinia pestis strain 108003 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177720.1?report=genbank&log$=nucltop&blast_rank=18&RID=UWDTFXDU014"",""CP177720.1"")"
"Yersinia pestis strain 50018 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177927.1?report=genbank&log$=nucltop&blast_rank=19&RID=UWDTFXDU014"",""CP177927.1"")"
"Yersinia pestis strain O010008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177703.1?report=genbank&log$=nucltop&blast_rank=20&RID=UWDTFXDU014"",""CP177703.1"")"
"Yersinia pestis 3770 plasmid pMT1, complete sequence",Yersinia pestis 3770,688,688,100%,0.0,98.96,140938,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006749.1?report=genbank&log$=nucltop&blast_rank=21&RID=UWDTFXDU014"",""CP006749.1"")"
"Yersinia pestis strain 2 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151616.1?report=genbank&log$=nucltop&blast_rank=22&RID=UWDTFXDU014"",""CP151616.1"")"
"Yersinia pestis strain 19104 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177783.1?report=genbank&log$=nucltop&blast_rank=23&RID=UWDTFXDU014"",""CP177783.1"")"
"Yersinia pestis strain 80075 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,96008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177473.1?report=genbank&log$=nucltop&blast_rank=24&RID=UWDTFXDU014"",""CP177473.1"")"
